torch_name,onnx_name
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock2.linear.linear1.weight,onnx::MatMul_9198
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock2.linear.linear1.bias,b1.a50.fc1.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock2.linear.linear2.weight,onnx::MatMul_9199
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock2.linear.linear2.bias,b1.a50.fc2.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock2.attention.earth_specific_bias,onnx::Add_9196
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock2.attention.linear1.weight,onnx::MatMul_9192
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock2.attention.linear1.bias,b1.a46.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock2.attention.linear2.weight,onnx::MatMul_9197
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock2.attention.linear2.bias,b1.a47.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.norm1.weight,b1.a56.weight
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.norm1.bias,b1.a56.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.norm2.weight,b1.a57.weight
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.norm2.bias,b1.a57.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.linear.linear1.weight,onnx::MatMul_9305
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.linear.linear1.bias,b1.a58.fc1.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.linear.linear2.weight,onnx::MatMul_9306
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.linear.linear2.bias,b1.a58.fc2.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.attention.earth_specific_bias,onnx::Add_9303
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.attention.linear1.weight,onnx::MatMul_9299
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.attention.linear1.bias,b1.a54.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.attention.linear2.weight,onnx::MatMul_9304
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock3.attention.linear2.bias,b1.a55.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.norm1.weight,b1.a64.weight
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.norm1.bias,b1.a64.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.norm2.weight,b1.a65.weight
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.norm2.bias,b1.a65.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.linear.linear1.weight,onnx::MatMul_9318
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.linear.linear1.bias,b1.a66.fc1.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.linear.linear2.weight,onnx::MatMul_9319
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.linear.linear2.bias,b1.a66.fc2.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.attention.earth_specific_bias,onnx::Add_9316
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.attention.linear1.weight,onnx::MatMul_9312
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.attention.linear1.bias,b1.a62.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.attention.linear2.weight,onnx::MatMul_9317
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock4.attention.linear2.bias,b1.a63.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.norm1.weight,b1.a72.weight
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.norm1.bias,b1.a72.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.norm2.weight,b1.a73.weight
